user_genome,classification,fastani_reference,fastani_reference_radius,fastani_taxonomy,fastani_ani,fastani_af,closest_placement_reference,closest_placement_taxonomy,closest_placement_ani,closest_placement_af,classification_method,note,"other_related_references(genome_id,species_name,radius,ANI,AF)",aa_percent,red_value,warnings
SB_biofilm_MAG_70,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA998;f__;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,64.75,0.620618595,N/A
SB_biofilm_MAG_63,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__MC1;f__;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,89.31,0.560430284,N/A
SB_biofilm_MAG_51,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,85.84,0.888133351,N/A
SB_biofilm_MAG_35,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,98.47,0.850898747,N/A
SB_biofilm_MAG_80,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,48.24,0.849195535,N/A
SB_biofilm_MAG_27,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Geminicoccales;f__;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,93.96,0.727898999,Genome has more than 10.8% of markers with multiple hits
SB_biofilm_MAG_40,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium_A;s__,GCF_002198685.1,95,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium_A;s__Rhodomicrobium_A vannielii,77.77,0.29,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,91.12,0.899795989,N/A
SB_biofilm_MAG_13,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic classification fully defined by topology,N/A,99.52,0.851224229,N/A
SB_biofilm_MAG_77,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Stappiaceae;g__Labrenzia;s__,GCF_002237595.1,95,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Stappiaceae;g__Labrenzia;s__,79.24,0.43,N/A,N/A,N/A,N/A,Placement,taxonomic classification fully defined by topology,"GCF_000168975.1, s__Labrenzia aggregata, 95.0, 79.16, 0.47; GCF_001579905.1, s__Labrenzia sp1, 95.0, 79.11, 0.44; GCF_001404515.1, s__Labrenzia alba, 95.0, 77.96, 0.3; GCA_001890945.1, s__, 95.0, 77.58, 0.24; GCF_000158095.1, s__Labrenzia alexandrii, 95.0, 77.49, 0.24; GCF_900142725.1, s__Labrenzia suaedae, 95.0, 77.42, 0.24; GCF_001404055.1, s__Labrenzia alba_A, 95.0, 77.36, 0.24; GCF_000148725.1, s__, 95.0, 76.94, 0.1",59.09,0.9741086,N/A
SB_biofilm_MAG_57,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales;f__Phaeomarinobacteraceae;g__Phaeomarinobacter;s__,GCF_000689395.1,95,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales;f__Phaeomarinobacteraceae;g__Phaeomarinobacter;s__Phaeomarinobacter ectocarpi,79.04,0.47,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,79.32,0.928909308,N/A
SB_biofilm_MAG_22,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Parvularculaceae;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,97.16,0.835390096,N/A
SB_biofilm_MAG_29,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__Oceanicaulis;s__,GCF_000152745.1,95,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__Oceanicaulis;s__,86.87,0.89,N/A,N/A,N/A,N/A,Placement,taxonomic classification fully defined by topology,"GCF_000420265.1, s__Oceanicaulis alexandrii, 95.0, 83.99, 0.83; GCA_001657295.1, s__, 95.0, 78.38, 0.4; GCA_001314625.1, s__Oceanicaulis sp2, 95.0, 77.55, 0.25",87.79,0.989931562,N/A
SB_biofilm_MAG_25,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__Maricaulis;s__,GCA_002707795.1,95,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__Maricaulis;s__Maricaulis sp1,85.26,0.58,N/A,N/A,N/A,N/A,Placement,taxonomic classification fully defined by topology,"GCA_002694345.1, s__, 95.0, 81.58, 0.42; GCF_001924955.1, s__, 95.0, 80.56, 0.59; GCF_000014745.1, s__Maricaulis maris, 95.0, 80.42, 0.57; GCF_900103475.1, s__Maricaulis salignorans, 95.0, 78.73, 0.48",78.17,0.975581215,N/A
SB_biofilm_MAG_74,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Ruegeria_A;s__,GCF_001681735.1,95,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Ruegeria_A;s__Ruegeria_A mobilis,86.52,0.64,N/A,N/A,N/A,N/A,Placement,taxonomic classification fully defined by topology,"GCF_000014065.1, s__, 95.0, 81.86, 0.59; GCF_001518015.1, s__, 95.0, 80.08, 0.57; GCA_001874255.1, s__, 95.0, 79.94, 0.54",48.92,0.991249106,N/A
SB_biofilm_MAG_47,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Ruegeria_A;s__,GCF_001681735.1,95,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Ruegeria_A;s__Ruegeria_A mobilis,82.84,0.62,N/A,N/A,N/A,N/A,Placement,taxonomic classification fully defined by topology,"GCF_001518015.1, s__, 95.0, 81.86, 0.6; GCF_000014065.1, s__, 95.0, 81.77, 0.58; GCA_001874255.1, s__, 95.0, 81.4, 0.57",80.6,0.989585969,N/A
SB_biofilm_MAG_64,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Ruegeria_A;s__,GCF_001681735.1,95,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Ruegeria_A;s__Ruegeria_A mobilis,82.97,0.67,N/A,N/A,N/A,N/A,Placement,taxonomic classification fully defined by topology,"GCF_000014065.1, s__, 95.0, 81.63, 0.62; GCF_001518015.1, s__, 95.0, 81.08, 0.59; GCA_001874255.1, s__, 95.0, 80.72, 0.55",68.04,0.989383939,N/A
SB_biofilm_MAG_58,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,86.32,0.933133024,N/A
SB_biofilm_MAG_16,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic classification fully defined by topology,N/A,95.77,0.802439348,Genome has more than 10.0% of markers with multiple hits
SB_biofilm_MAG_12,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic classification fully defined by topology,N/A,97.14,0.630656905,N/A
SB_biofilm_MAG_50,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Kordiimonadaceae;g__;s__,GCF_000710935.1,95,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Kordiimonadaceae;g__Q-1;s__,75.9,0.07,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,86.12,0.764049116,N/A
SB_biofilm_MAG_24,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Thalassobaculales;f__Thalassobaculaceae;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,96.76,0.786707449,N/A
SB_biofilm_MAG_21,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Dongiales;f__Dongiaceae;g__;s__,GCF_000620685.1,95,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Dongiales;f__Dongiaceae;g__Dongia;s__,76.1,0.12,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,92.47,0.711203061,N/A
SB_biofilm_MAG_67,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__Fodinicurvataceae;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic classification fully defined by topology,N/A,63.91,0.741727092,N/A
SB_biofilm_MAG_32,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,95.37,0.704723444,N/A
SB_biofilm_MAG_79,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA7985;f__;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,59.56,0.604420465,N/A
SB_biofilm_MAG_20,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__;g__;s__,GCA_001464935.1,95,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__Ga0077536;s__,76.33,0.15,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,99.11,0.65484067,N/A
SB_biofilm_MAG_41,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Algiphilaceae;g__Algiphilus;s__,GCF_000733765.1,95,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Algiphilaceae;g__Algiphilus;s__Algiphilus aromaticivorans,78.71,0.42,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,93.23,0.907431346,N/A
SB_biofilm_MAG_31,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA1113;f__UBA1113;g__GCA-2707205;s__,GCA_002707205.1,95,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA1113;f__UBA1113;g__GCA-2707205;s__,77.02,0.19,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,96.43,0.901356003,N/A
SB_biofilm_MAG_68,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Hahellaceae;g__Marinobacter;s__,GCF_001650765.1,95,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Hahellaceae;g__Marinobacter;s__Marinobacter sp3,90.37,0.81,N/A,N/A,N/A,N/A,Placement,taxonomic classification fully defined by topology,"GCF_900188435.1, s__, 95.0, 87.61, 0.75; GCF_001717765.1, s__Marinobacter adhaerens_A, 95.0, 86.85, 0.76; GCF_000166295.1, s__Marinobacter adhaerens, 95.0, 86.44, 0.78; GCF_900188315.1, s__, 95.0, 86.35, 0.74; GCF_001045555.1, s__Marinobacter subterrani, 95.0, 82.9, 0.66; GCF_002744735.1, s__Marinobacter guineae, 95.0, 82.82, 0.67; GCF_900115175.1, s__Marinobacter gudaonensis, 95.0, 81.41, 0.61; GCF_900114925.1, s__Marinobacter pelagius, 95.0, 80.36, 0.48; GCF_001854125.1, s__Marinobacter salinus, 95.0, 80.07, 0.47; GCF_000475255.1, s__, 95.0, 79.86, 0.39; GCF_002258215.1, s__Marinobacter vinifirmus, 95.0, 79.85, 0.41; GCF_001895225.1, s__Marinobacter hydrocarbonoclasticus_A, 95.0, 79.77, 0.41; GCF_001574445.1, s__Marinobacter excellens, 95.0, 79.68, 0.42; GCF_000284615.1, s__Marinobacter hydrocarbonoclasticus, 95.0, 79.65, 0.42; GCF_000830985.1, s__Marinobacter similis, 95.0, 79.64, 0.47; GCF_000397065.2, s__Marinobacter lipolyticus, 95.0, 79.6, 0.41; GCF_000686085.1, s__, 95.0, 79.47, 0.45; GCF_001447155.2, s__, 95.0, 79.44, 0.44; GCF_000347775.1, s__Marinobacter santoriniensis, 95.0, 79.38, 0.4; GCF_000831005.1, s__Marinobacter salarius, 95.0, 79.34, 0.39; GCF_000170835.1, s__Marinobacter algicola, 95.0, 79.33, 0.4; GCA_002714765.1, s__Marinobacter sp4, 95.0, 79.28, 0.38; GCF_000708045.1, s__Marinobacter nitratireducens, 95.0, 79.24, 0.38; GCF_900114155.1, s__Marinobacter persicus, 95.0, 79.13, 0.3; GCF_002744715.1, s__, 95.0, 79.12, 0.38; GCA_001314845.1, s__Marinobacter excellens_A, 95.0, 79.06, 0.35; GCF_002806975.1, s__Marinobacter aromaticivorans, 95.0, 78.82, 0.36; GCF_001981305.1, s__Marinobacter lutaoensis, 95.0, 78.7, 0.37; GCA_002282495.1, s__, 95.0, 78.67, 0.16; GCF_900111555.1, s__Marinobacter segnicrescens, 95.0, 78.4, 0.23; GCF_900142385.1, s__Marinobacter antarcticus, 95.0, 78.37, 0.32; GCF_000421165.1, s__Marinobacter daepoensis, 95.0, 78.33, 0.3; GCF_900115285.1, s__Marinobacter daqiaonensis, 95.0, 78.3, 0.25; GCF_900114775.1, s__Marinobacter zhejiangensis, 95.0, 78.2, 0.24; GCF_900106945.1, s__Marinobacter mobilis, 95.0, 78.15, 0.24; GCF_002407605.1, s__, 95.0, 78.12, 0.28; GCF_002806945.1, s__Marinobacter salexigens, 95.0, 78.02, 0.29; GCF_001858325.1, s__, 95.0, 77.86, 0.29; GCF_002846515.1, s__, 95.0, 77.78, 0.28; GCF_000372805.1, s__Marinobacter lipolyticus_A, 95.0, 77.55, 0.17; GCF_001752365.1, s__, 95.0, 77.42, 0.17; GCF_001043175.1, s__Marinobacter psychrophilus, 95.0, 77.29, 0.15; GCF_000169375.1, s__, 95.0, 77.25, 0.2; GCF_002563885.1, s__, 95.0, 77.25, 0.18",69.81,0.990736705,N/A
SB_biofilm_MAG_72,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Hahellaceae;g__Marinobacter;s__,GCF_000831005.1,95,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Hahellaceae;g__Marinobacter;s__Marinobacter salarius,93.65,0.85,N/A,N/A,N/A,N/A,Placement,taxonomic classification fully defined by topology,"GCF_000170835.1, s__Marinobacter algicola, 95.0, 91.53, 0.84; GCF_000686085.1, s__, 95.0, 81.73, 0.59; GCF_001650765.1, s__Marinobacter sp3, 95.0, 79.38, 0.44; GCF_900114925.1, s__Marinobacter pelagius, 95.0, 79.29, 0.37; GCF_002744735.1, s__Marinobacter guineae, 95.0, 79.24, 0.4; GCF_000397065.2, s__Marinobacter lipolyticus, 95.0, 79.21, 0.41; GCF_000166295.1, s__Marinobacter adhaerens, 95.0, 79.13, 0.4; GCF_001045555.1, s__Marinobacter subterrani, 95.0, 79.13, 0.42; GCF_900188435.1, s__, 95.0, 79.09, 0.39; GCF_900115175.1, s__Marinobacter gudaonensis, 95.0, 79.07, 0.39; GCF_001717765.1, s__Marinobacter adhaerens_A, 95.0, 79.03, 0.42; GCF_000830985.1, s__Marinobacter similis, 95.0, 79.03, 0.37; GCF_000475255.1, s__, 95.0, 78.89, 0.32; GCF_002744715.1, s__, 95.0, 78.89, 0.34; GCF_900188315.1, s__, 95.0, 78.89, 0.4; GCF_002258215.1, s__Marinobacter vinifirmus, 95.0, 78.86, 0.34; GCF_001854125.1, s__Marinobacter salinus, 95.0, 78.74, 0.34; GCF_001447155.2, s__, 95.0, 78.65, 0.35; GCF_000284615.1, s__Marinobacter hydrocarbonoclasticus, 95.0, 78.64, 0.32; GCF_001895225.1, s__Marinobacter hydrocarbonoclasticus_A, 95.0, 78.63, 0.32; GCF_001574445.1, s__Marinobacter excellens, 95.0, 78.6, 0.35; GCF_000347775.1, s__Marinobacter santoriniensis, 95.0, 78.57, 0.31; GCF_900114155.1, s__Marinobacter persicus, 95.0, 78.42, 0.26; GCA_002282495.1, s__, 95.0, 78.28, 0.15; GCF_000708045.1, s__Marinobacter nitratireducens, 95.0, 78.25, 0.31; GCA_001314845.1, s__Marinobacter excellens_A, 95.0, 78.18, 0.29; GCF_001981305.1, s__Marinobacter lutaoensis, 95.0, 78.04, 0.33; GCF_900142385.1, s__Marinobacter antarcticus, 95.0, 78.02, 0.26; GCF_900111555.1, s__Marinobacter segnicrescens, 95.0, 77.98, 0.25; GCF_002806975.1, s__Marinobacter aromaticivorans, 95.0, 77.98, 0.27; GCF_000421165.1, s__Marinobacter daepoensis, 95.0, 77.96, 0.26; GCF_900106945.1, s__Marinobacter mobilis, 95.0, 77.9, 0.25; GCF_900114775.1, s__Marinobacter zhejiangensis, 95.0, 77.85, 0.24; GCF_900115285.1, s__Marinobacter daqiaonensis, 95.0, 77.77, 0.24; GCF_002806945.1, s__Marinobacter salexigens, 95.0, 77.75, 0.21; GCF_002407605.1, s__, 95.0, 77.53, 0.23; GCF_001858325.1, s__, 95.0, 77.46, 0.23; GCF_000372805.1, s__Marinobacter lipolyticus_A, 95.0, 77.27, 0.15; GCF_000169375.1, s__, 95.0, 77.19, 0.18; GCF_002846515.1, s__, 95.0, 77.19, 0.22; GCF_002563885.1, s__, 95.0, 77.19, 0.17; GCF_001752365.1, s__, 95.0, 77.01, 0.17; GCF_001043175.1, s__Marinobacter psychrophilus, 95.0, 76.9, 0.16",65.16,0.994824492,N/A
SB_biofilm_MAG_65,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Saccharospirillaceae;g__Saccharospirillum;s__,GCF_000423605.1,95,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Saccharospirillaceae;g__Saccharospirillum;s__Saccharospirillum impatiens,77.49,0.19,N/A,N/A,N/A,N/A,Placement,taxonomic novelty determined using RED,N/A,76.07,0.933495251,N/A
SB_biofilm_MAG_44,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__UBA9145;s__,GCA_002731775.1,95,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__UBA9145;s__,76.47,0.06,N/A,N/A,N/A,N/A,Placement,taxonomic classification fully defined by topology,"GCA_002684935.1, s__, 95.0, 76.25, 0.07; GCA_002730035.1, s__, 95.0, 76.14, 0.08",90.39,0.914539864,N/A